assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	ncbi_taxonomy_x	ncbi_taxonomy_y	NCBI_Domain	NCBI_Phylum	NCBI_Class	NCBI_Order	NCBI_Family	NCBI_Genus	NCBI_Species	GCF
GCF_000012685.1	PRJNA224116	SAMN02604018		representative genome	246197	34	Myxococcus xanthus DK 1622	strain=DK 1622		latest	Complete Genome	Major	Full	2006/06/07	ASM1268v1	TIGR	GCA_000012685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/685/GCF_000012685.1_ASM1268v1			d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Myxococcaceae;g__Myxococcus;s__Myxococcus xanthus	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Myxococcaceae;g__Myxococcus;s__Myxococcus xanthus	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus_xanthus	000012685
GCF_000011965.2	PRJNA224116	SAMN02604003		representative genome	246200	89184	Ruegeria pomeroyi DSS-3	strain=DSS-3		latest	Complete Genome	Major	Full	2013/12/10	ASM1196v2	TIGR	GCA_000011965.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/965/GCF_000011965.2_ASM1196v2		assembly from type material	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Ruegeria;s__Ruegeria pomeroyi	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Ruegeria;s__Ruegeria pomeroyi	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ruegeria	Ruegeria_pomeroyi	000011965
GCF_001432245.1	PRJNA224116	SAMN04196999		representative genome	246432	246432	Staphylococcus equorum	strain=KS1039		latest	Complete Genome	Major	Full	2015/11/05	ASM143224v1	Shinansan University	GCA_001432245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/432/245/GCF_001432245.1_ASM143224v1			d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus equorum	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus equorum	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_equorum	001432245
GCF_000009805.1	PRJNA224116	SAMD00061069		representative genome	247156	37329	Nocardia farcinica IFM 10152	strain=IFM 10152		latest	Complete Genome	Major	Full	2004/10/08	ASM980v1	Department of Bioactive Molecules, National Institute of Infectious Diseases	GCA_000009805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/805/GCF_000009805.1_ASM980v1			d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Nocardiaceae;g__Nocardia;s__Nocardia farcinica	d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Nocardiaceae;g__Nocardia;s__Nocardia farcinica	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia_farcinica	000009805
GCF_015326725.1	PRJNA224116	SAMN16644385		representative genome	247480	247480	Anoxybacillus caldiproteolyticus	strain=U458		latest	Complete Genome	Major	Full	2020/11/10	ASM1532672v1	NEB	GCA_015326725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/326/725/GCF_015326725.1_ASM1532672v1			d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Anoxybacillus;s__Anoxybacillus caldiproteolyticus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Anoxybacillus;s__Anoxybacillus caldiproteolyticus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Anoxybacillus	Anoxybacillus_caldiproteolyticus	015326725
GCF_900187285.1	PRJNA224116	SAMEA44547418		representative genome	248315	248315	Veillonella rodentium	strain=NCTC12018		latest	Complete Genome	Major	Full	2017/08/15	51342_C02	SC	GCA_900187285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/187/285/GCF_900187285.1_51342_C02		assembly from type material	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella rodentium	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella rodentium	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella_rodentium	900187285
GCF_900186995.1	PRJNA224116	SAMEA4384241		representative genome	249188	249188	Haemophilus pittmaniae	strain=NCTC13334		latest	Complete Genome	Major	Full	2017/08/15	50465_A02	SC	GCA_900186995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/186/995/GCF_900186995.1_50465_A02		assembly from type material	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus pittmaniae	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus pittmaniae	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus_pittmaniae	900186995
GCF_000011385.1	PRJNA224116	SAMD00061120		representative genome	251221	33072	Gloeobacter violaceus PCC 7421	strain=PCC 7421		latest	Complete Genome	Major	Full	2003/10/03	ASM1138v1	Kazusa	GCA_000011385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/385/GCF_000011385.1_ASM1138v1		assembly from type material	d__Bacteria;p__Cyanobacteria;c__Gloeobacteria;o__Gloeobacterales;f__Gloeobacteraceae;g__Gloeobacter;s__Gloeobacter violaceus	d__Bacteria;p__Cyanobacteria;c__Gloeobacteria;o__Gloeobacterales;f__Gloeobacteraceae;g__Gloeobacter;s__Gloeobacter violaceus	Bacteria	Cyanobacteria	Gloeobacteria	Gloeobacterales	Gloeobacteraceae	Gloeobacter	Gloeobacter_violaceus	000011385
GCF_000317125.1	PRJNA224116	SAMN02261359		representative genome	251229	54299	Chroococcidiopsis thermalis PCC 7203	strain=PCC 7203		latest	Complete Genome	Major	Full	2012/12/05	ASM31712v1	JGI	GCA_000317125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/125/GCF_000317125.1_ASM31712v1		assembly from type material	d__Bacteria;p__Cyanobacteria;c__;o__Chroococcidiopsidales;f__Chroococcidiopsidaceae;g__Chroococcidiopsis;s__Chroococcidiopsis thermalis	d__Bacteria;p__Cyanobacteria;c__;o__Chroococcidiopsidales;f__Chroococcidiopsidaceae;g__Chroococcidiopsis;s__Chroococcidiopsis thermalis	Bacteria	Cyanobacteria	norank	Chroococcidiopsidales	Chroococcidiopsidaceae	Chroococcidiopsis	Chroococcidiopsis_thermalis	000317125
GCF_001617625.1	PRJNA224116	SAMN04556710		representative genome	252514	252514	Microbulbifer thermotolerans	strain=DAU221		latest	Complete Genome	Major	Full	2016/04/08	ASM161762v1	Dong-A University	GCA_001617625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/617/625/GCF_001617625.1_ASM161762v1			d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Microbulbiferaceae;g__Microbulbifer;s__Microbulbifer thermotolerans	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Microbulbiferaceae;g__Microbulbifer;s__Microbulbifer thermotolerans	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Microbulbiferaceae	Microbulbifer	Microbulbifer_thermotolerans	001617625
GCF_008369725.1	PRJNA224116	SAMN12676117		representative genome	253703	253703	Paenibacillus antarcticus	strain=KACC 11469		latest	Complete Genome	Major	Full	2019/09/11	ASM836972v1	Kyungpook National University	GCA_008369725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/369/725/GCF_008369725.1_ASM836972v1			d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus antarcticus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus antarcticus	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus_antarcticus	008369725
GCF_902459475.1	PRJNA224116	SAMEA5080414		representative genome	254246	254246	Aquicella lusitana	strain=SGT-39		latest	Complete Genome	Major	Full	2019/08/15	pb_189-1_HGAP3_CTR	UPPSALA UNIVERSITY	GCA_902459475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/459/475/GCF_902459475.1_pb_189-1_HGAP3_CTR		assembly from type material	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Coxiellaceae;g__Aquicella;s__Aquicella lusitana	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Coxiellaceae;g__Aquicella;s__Aquicella lusitana	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Aquicella	Aquicella_lusitana	902459475
GCF_902459485.1	PRJNA224116	SAMEA5080415		representative genome	254247	254247	Aquicella siphonis	strain=SGT-108		latest	Complete Genome	Major	Full	2019/08/15	pb_189-2_HGAP3_CTR	UPPSALA UNIVERSITY	GCA_902459485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/459/485/GCF_902459485.1_pb_189-2_HGAP3_CTR		assembly from type material	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Coxiellaceae;g__Aquicella;s__Aquicella siphonis	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Coxiellaceae;g__Aquicella;s__Aquicella siphonis	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Aquicella	Aquicella_siphonis	902459485
GCF_013372265.1	PRJNA224116	SAMN14918904		representative genome	255507	255507	Arcobacter cibarius	strain=LMG 21996		latest	Complete Genome	Major	Full	2020/06/24	ASM1337226v1	USDA, ARS, WRRC	GCA_013372265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/372/265/GCF_013372265.1_ASM1337226v1		assembly from type material	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Arcobacter;s__Arcobacter cibarius	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Arcobacter;s__Arcobacter cibarius	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter	Arcobacter_cibarius	013372265
GCF_008118345.1	PRJNA224116	SAMN12605457		representative genome	257438	257438	Gluconobacter thailandicus	strain=HD924		latest	Complete Genome	Major	Full	2019/08/27	ASM811834v1	Henan University	GCA_008118345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/118/345/GCF_008118345.1_ASM811834v1			d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Gluconobacter;s__Gluconobacter thailandicus	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Gluconobacter;s__Gluconobacter thailandicus	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter_thailandicus	008118345
GCF_000012305.1	PRJNA224116	SAMN02598544		representative genome	259536	334543	Psychrobacter arcticus 273-4	strain=273-4		latest	Complete Genome	Major	Full	2005/07/20	ASM1230v1	DOE Joint Genome Institute	GCA_000012305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/305/GCF_000012305.1_ASM1230v1		assembly from type material	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter arcticus	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter arcticus	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	Psychrobacter_arcticus	000012305
GCF_002215585.1	PRJNA224116	SAMN07296262		representative genome	260364	260364	Shewanella marisflavi	strain=EP1		latest	Complete Genome	Major	Full	2017/07/06	ASM221558v1	Hubei Polytechnic University	GCA_002215585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/215/585/GCF_002215585.1_ASM221558v1			d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Shewanella;s__Shewanella marisflavi	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Shewanella;s__Shewanella marisflavi	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella_marisflavi	002215585
GCF_001999945.1	PRJNA224116	SAMN06311449		representative genome	260552	260552	Microbulbifer agarilyticus	strain=GP101		latest	Complete Genome	Major	Full	2017/02/15	ASM199994v1	National Marine Biodiversity Institute of Korea	GCA_001999945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/999/945/GCF_001999945.1_ASM199994v1			d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Microbulbiferaceae;g__Microbulbifer;s__Microbulbifer agarilyticus	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cellvibrionales;f__Microbulbiferaceae;g__Microbulbifer;s__Microbulbifer agarilyticus	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Microbulbiferaceae	Microbulbifer	Microbulbifer_agarilyticus	001999945
GCF_004006435.1	PRJNA224116	SAMN09095924		representative genome	260554	260554	Bacillus halotolerans	strain=ZB201702		latest	Complete Genome	Major	Full	2019/01/09	ASM400643v1	Beijing Academy of Agriculture and Forestry Sciences	GCA_004006435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/006/435/GCF_004006435.1_ASM400643v1			d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus halotolerans	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus halotolerans	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus_halotolerans	004006435
GCF_001606025.1	PRJNA224116	SAMN04549283		representative genome	261164	261164	Psychrobacter alimentarius	strain=PAMC 27889		latest	Complete Genome	Major	Full	2016/04/04	ASM160602v1	Korea Polar Research Institute	GCA_001606025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/606/025/GCF_001606025.1_ASM160602v1			d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter alimentarius	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter alimentarius	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	Psychrobacter_alimentarius	001606025
GCF_000008445.1	PRJNA224116	SAMN02603433		representative genome	261594	1392	Bacillus anthracis str. 'Ames Ancestor'	strain=Ames Ancestor; A2084		latest	Complete Genome	Major	Full	2004/07/09	ASM844v1	J. Craig Venter Institute	GCA_000008445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/445/GCF_000008445.1_ASM844v1			d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus anthracis	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus anthracis	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus_anthracis	000008445
GCF_003721155.3	PRJNA224116	SAMN10373444		representative genome	262209	262209	Janibacter melonis	strain=M714		latest	Complete Genome	Major	Full	2019/12/16	ASM372115v4	NANJING TECH UNIVERSITY	GCA_003721155.4	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/721/155/GCF_003721155.3_ASM372115v4			d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Intrasporangiaceae;g__Janibacter;s__Janibacter melonis	d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Intrasporangiaceae;g__Janibacter;s__Janibacter melonis	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Intrasporangiaceae	Janibacter	Janibacter_melonis	003721155
GCF_001442805.1	PRJNA224116	SAMN03275729		representative genome	262324	262324	Lysobacter gummosus	strain=3.2.11		latest	Complete Genome	Major	Full	2015/11/12	ASM144280v1	NIOO-KNAW	GCA_001442805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/442/805/GCF_001442805.1_ASM144280v1			d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter;s__Lysobacter gummosus	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter;s__Lysobacter gummosus	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	Lysobacter_gummosus	001442805
GCF_000019905.1	PRJNA224116	SAMN00120225		representative genome	262543	332410	Exiguobacterium sibiricum 255-15	strain=255-15		latest	Complete Genome	Major	Full	2008/04/03	ASM1990v1	US DOE Joint Genome Institute	GCA_000019905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/905/GCF_000019905.1_ASM1990v1		assembly from type material	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__;g__Exiguobacterium;s__Exiguobacterium sibiricum	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__;g__Exiguobacterium;s__Exiguobacterium sibiricum	Bacteria	Firmicutes	Bacilli	Bacillales	norank	Exiguobacterium	Exiguobacterium_sibiricum	000019905
GCF_000009945.1	PRJNA224116	SAMD00061108		representative genome	264202	83556	Chlamydia felis Fe/C-56	strain=Fe/C-56		latest	Complete Genome	Major	Full	2006/03/09	ASM994v1	Japanese Consortium/Yamaguchi Univ.	GCA_000009945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/945/GCF_000009945.1_ASM994v1			d__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia felis	d__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia felis	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia_felis	000009945
GCF_000196175.1	PRJNA224116	SAMEA3138335		representative genome	264462	959	Bdellovibrio bacteriovorus HD100	strain=HD100		latest	Complete Genome	Major	Full	2004/02/10	ASM19617v1	Max-Planck-Institute	GCA_000196175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/175/GCF_000196175.1_ASM19617v1		assembly from type material	d__Bacteria;p__Proteobacteria;c__Oligoflexia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Bdellovibrio;s__Bdellovibrio bacteriovorus	d__Bacteria;p__Proteobacteria;c__Oligoflexia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Bdellovibrio;s__Bdellovibrio bacteriovorus	Bacteria	Proteobacteria	Oligoflexia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	Bdellovibrio_bacteriovorus	000196175
GCF_900660755.1	PRJNA224116	SAMEA104224796		representative genome	264636	264636	Acholeplasma hippikon	strain=NCTC10172		latest	Complete Genome	Major	Full	2019/01/29	57792_F01-3	SC	GCA_900660755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/660/755/GCF_900660755.1_57792_F01-3		assembly from type material	d__Bacteria;p__Tenericutes;c__Mollicutes;o__Acholeplasmatales;f__Acholeplasmataceae;g__Acholeplasma;s__Acholeplasma hippikon	d__Bacteria;p__Tenericutes;c__Mollicutes;o__Acholeplasmatales;f__Acholeplasmataceae;g__Acholeplasma;s__Acholeplasma hippikon	Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma_hippikon	900660755
GCF_000025925.1	PRJNA224116	SAMN02604020		representative genome	264731	839	Prevotella ruminicola 23	strain=Bryant 23		latest	Complete Genome	Major	Full	2010/04/09	ASM2592v1	TIGR	GCA_000025925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/925/GCF_000025925.1_ASM2592v1		assembly from type material	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella ruminicola	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella ruminicola	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_ruminicola	000025925
GCF_000013705.1	PRJNA224116	SAMN02598256		representative genome	265072	405	Methylobacillus flagellatus KT	strain=KT		latest	Complete Genome	Major	Full	2006/04/10	ASM1370v1	DOE Joint Genome Institute	GCA_000013705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/705/GCF_000013705.1_ASM1370v1		assembly from type material	d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Methylophilaceae;g__Methylobacillus;s__Methylobacillus flagellatus	d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Methylophilaceae;g__Methylobacillus;s__Methylobacillus flagellatus	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Methylophilaceae	Methylobacillus	Methylobacillus_flagellatus	000013705
GCF_002097715.1	PRJNA224116	SAMN06690200		representative genome	265293	265293	[Pseudomonas] mesoacidophila	strain=ATCC 31433		latest	Complete Genome	Major	Full	2017/04/18	ASM209771v1	Cardiff University	GCA_002097715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/097/715/GCF_002097715.1_ASM209771v1		assembly from type material	d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paraburkholderia;s__Paraburkholderia acidophila	d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paraburkholderia;s__Paraburkholderia acidophila	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia_acidophila	002097715
GCF_000008305.1	PRJNA224116	SAMN03081416		representative genome	265311	2151	Mesoplasma florum L1	strain=L1; ATCC 33453		latest	Complete Genome	Major	Full	2004/07/19	ASM830v1	Broad Institute	GCA_000008305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/305/GCF_000008305.1_ASM830v1		assembly from type material	d__Bacteria;p__Tenericutes;c__Mollicutes;o__Entomoplasmatales;f__Entomoplasmataceae;g__Mesoplasma;s__Mesoplasma florum	d__Bacteria;p__Tenericutes;c__Mollicutes;o__Entomoplasmatales;f__Entomoplasmataceae;g__Mesoplasma;s__Mesoplasma florum	Bacteria	Tenericutes	Mollicutes	Entomoplasmatales	Entomoplasmataceae	Mesoplasma	Mesoplasma_florum	000008305
GCF_009938225.1	PRJNA224116	SAMD00167061		representative genome	265668	265668	Vibrio ponticus	strain=DSM 16217		latest	Complete Genome	Major	Full	2020/01/06	ASM993822v1	Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	GCA_009938225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/938/225/GCF_009938225.1_ASM993822v1		assembly from type material	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__Vibrio ponticus	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__Vibrio ponticus	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio_ponticus	009938225
GCF_004028275.1	PRJNA224116	SAMN10724091		representative genome	265883	265883	Hydrogenovibrio thermophilus	strain=JR-2		latest	Complete Genome	Major	Full	2019/01/17	ASM402827v1	University of South Florida	GCA_004028275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/028/275/GCF_004028275.1_ASM402827v1			d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Piscirickettsiaceae;g__Hydrogenovibrio;s__Hydrogenovibrio thermophilus	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Piscirickettsiaceae;g__Hydrogenovibrio;s__Hydrogenovibrio thermophilus	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Hydrogenovibrio	Hydrogenovibrio_thermophilus	004028275
GCF_004348195.1	PRJNA224116	SAMN10963708		representative genome	265959	265959	Komagataeibacter saccharivorans	strain=JH1		latest	Complete Genome	Major	Full	2019/03/13	ASM434819v1	Georg-August-University Goettingen	GCA_004348195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/348/195/GCF_004348195.1_ASM434819v1			d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Komagataeibacter;s__Komagataeibacter saccharivorans	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Komagataeibacter;s__Komagataeibacter saccharivorans	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_saccharivorans	004348195
GCF_002009295.1	PRJNA224116	SAMN06368327		representative genome	265960	265960	Komagataeibacter nataicola	strain=RZS01		latest	Complete Genome	Major	Full	2017/03/02	ASM200929v1	Nanjing University of Science and Technology	GCA_002009295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/009/295/GCF_002009295.1_ASM200929v1			d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Komagataeibacter;s__Komagataeibacter nataicola	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Komagataeibacter;s__Komagataeibacter nataicola	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter	Komagataeibacter_nataicola	002009295
