assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_001700985.1	PRJNA224116	SAMN05416582		representative genome	1426	1426	Parageobacillus thermoglucosidasius	strain=Wild Type		latest	Complete Genome	Major	Full	2016/08/09	ASM170098v1	University of Nottingham	GCA_001700985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/700/985/GCF_001700985.1_ASM170098v1		assembly from type material
GCF_900478165.1	PRJNA224116	SAMEA4040590		representative genome	1467	1467	Lederbergia lentus	strain=NCTC4824		latest	Complete Genome	Major	Full	2018/06/18	48290_A02	SC	GCA_900478165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/478/165/GCF_900478165.1_48290_A02		assembly from type material
GCF_004379295.1	PRJNA224116	SAMN11104798		representative genome	1474	1474	Sporosarcina pasteurii	strain=BNCC 337394		latest	Complete Genome	Major	Full	2019/03/26	ASM437929v1	Southeast University	GCA_004379295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/379/295/GCF_004379295.1_ASM437929v1		
GCF_001590685.1	PRJNA224116	SAMN04515682		representative genome	1476	1476	Sporosarcina psychrophila	strain=DSM 6497		latest	Complete Genome	Major	Full	2016/03/14	ASM159068v1	Shanghai Jiao Tong University	GCA_001590685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/590/685/GCF_001590685.1_ASM159068v1		
GCF_001050115.1	PRJNA224116	SAMN03246763		representative genome	1479	1479	Bacillus smithii	strain=DSM 4216		latest	Complete Genome	Major	Full	2015/07/08	ASM105011v1	Corbion	GCA_001050115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/050/115/GCF_001050115.1_ASM105011v1		assembly from type material
GCF_001878675.1	PRJNA224116	SAMN05953463		representative genome	1482	1482	Virgibacillus halodenitrificans	strain=PDB-F2		latest	Complete Genome	Major	Full	2016/11/14	ASM187867v1	East China University of Science and Technology	GCA_001878675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/878/675/GCF_001878675.1_ASM187867v1		
GCF_003058345.1	PRJNA224116	SAMN03780372		representative genome	1491	1491	Clostridium botulinum	strain=DFPST0029		latest	Complete Genome	Major	Full	2018/04/21	ASM305834v1	US Food and Drug Administration	GCA_003058345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/058/345/GCF_003058345.1_ASM305834v1		
GCF_003315755.1	PRJNA224116	SAMN09518512		representative genome	1492	1492	Clostridium butyricum	strain=S-45-5		latest	Complete Genome	Major	Full	2018/07/12	ASM331575v1	KRIBB	GCA_003315755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/315/755/GCF_003315755.1_ASM331575v1		
GCF_900187165.1	PRJNA224116	SAMEA4530647		representative genome	1494	1494	Clostridium cochlearium	strain=NCTC13027		latest	Complete Genome	Major	Full	2017/08/15	52121_G02	SC	GCA_900187165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/187/165/GCF_900187165.1_52121_G02		assembly from type material
GCF_002007885.1	PRJNA224116	SAMN06286529		representative genome	1496	1496	Clostridioides difficile	strain=BR81		latest	Complete Genome	Major	Full	2017/02/28	ASM200788v1	Kyung Hee University	GCA_002007885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/007/885/GCF_002007885.1_ASM200788v1		
GCF_002080475.1	PRJNA224116	SAMN06660676		representative genome	1497	1497	Clostridium formicaceticum	strain=DSM 92		latest	Complete Genome	Major	Full	2017/04/06	ASM208047v1	Goettingen Genomics Laboratory	GCA_002080475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/080/475/GCF_002080475.1_ASM208047v1		assembly from type material
GCF_901482605.1	PRJNA224116	SAMEA3919786		representative genome	1498	1498	Hathewaya histolytica	strain=NCTC503		latest	Complete Genome	Major	Full	2019/05/11	45532_E01	SC	GCA_901482605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/901/482/605/GCF_901482605.1_45532_E01		assembly from type material
GCF_001856695.1	PRJNA224116	SAMN04208905		representative genome	1501	1501	Clostridium pasteurianum	strain=M150B		latest	Complete Genome	Major	Full	2016/10/31	ASM185669v1	Papoutsakis Research Group	GCA_001856695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/856/695/GCF_001856695.1_ASM185669v1		
GCF_003606265.1	PRJNA224116	SAMN07710202		representative genome	1504	1504	Clostridium septicum	strain=DSM 7534		latest	Complete Genome	Major	Full	2018/10/01	ASM360626v1	Friedrich-Loeffler-Institut	GCA_003606265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/606/265/GCF_003606265.1_ASM360626v1		assembly from type material
GCF_002865995.1	PRJNA224116	SAMN04263499		representative genome	1505	1505	Paeniclostridium sordellii	strain=AM370		latest	Complete Genome	Major	Full	2018/01/08	ASM286599v1	Los Alamos National Laboratory	GCA_002865995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/865/995/GCF_002865995.1_ASM286599v1		
GCF_000196455.1	PRJNA224116	SAMEA3138340		representative genome	1511	1511	Acetoanaerobium sticklandii	strain=DSM 519		latest	Complete Genome	Major	Full	2010/10/16	ASM19645v1	Genoscope-CEA	GCA_000196455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/455/GCF_000196455.1_ASM19645v1		assembly from type material
GCF_001642655.1	PRJNA224116	SAMN04415495		representative genome	1519	1519	Clostridium tyrobutyricum	strain=KCTC 5387		latest	Complete Genome	Major	Full	2016/05/12	ASM164265v1	KAIST	GCA_001642655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/642/655/GCF_001642655.1_ASM164265v1		
GCF_012317185.1	PRJNA224116	SAMN14089795		representative genome	1522	1522	[Clostridium] innocuum	strain=ATCC 14501		latest	Complete Genome	Major	Full	2020/04/15	ASM1231718v1	Ann & Robert H. Lurie Children's Hospital of Chicago	GCA_012317185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/317/185/GCF_012317185.1_ASM1231718v1		assembly from type material
GCF_001874605.1	PRJNA224116	SAMN05430237		representative genome	1525	1525	Moorella thermoacetica	strain=DSM 103284		latest	Complete Genome	Major	Full	2016/11/10	ASM187460v1	Goettingen Genomics Laboratory	GCA_001874605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/874/605/GCF_001874605.1_ASM187460v1		
GCF_000968375.1	PRJNA224116	SAMN02721231		representative genome	1548	1548	Clostridium scatologenes	strain=ATCC 25775		latest	Complete Genome	Major	Full	2015/04/02	ASM96837v1	Nanjing Tech University	GCA_000968375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/968/375/GCF_000968375.1_ASM96837v1		assembly from type material
GCF_001991075.2	PRJNA224116	SAMN04262349		representative genome	1561	1561	Clostridium baratii	strain=CDC51267		latest	Complete Genome	Minor	Full	2018/05/01	ASM199107v2	Los Alamos National Laboratory	GCA_001991075.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/991/075/GCF_001991075.2_ASM199107v2		
GCF_002081995.1	PRJNA224116	SAMN04613821		representative genome	1571	1571	Sporosarcina ureae	strain=S204		latest	Complete Genome	Major	Full	2017/04/07	ASM208199v1	California State University Northridge	GCA_002081995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/081/995/GCF_002081995.1_ASM208199v1		
GCF_900475625.1	PRJNA224116	SAMEA3919799		representative genome	1580	1580	Levilactobacillus brevis	strain=NCTC13768		latest	Complete Genome	Major	Full	2018/06/17	45709_F01	SC	GCA_900475625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/475/625/GCF_900475625.1_45709_F01		assembly from type material
GCF_004771075.1	PRJNA224116	SAMN08627292		representative genome	1583	1583	Weissella confusa	strain=VTT E-133279		latest	Complete Genome	Major	Full	2019/04/11	ASM477107v1	University of Saskatchewan	GCA_004771075.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/771/075/GCF_004771075.1_ASM477107v1		
GCF_002849915.1	PRJNA224116	SAMN04892856		representative genome	1587	1587	Lactobacillus helveticus	strain=FAM8627		latest	Complete Genome	Major	Full	2018/01/03	ASM284991v1	Agroscope	GCA_002849915.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/849/915/GCF_002849915.1_ASM284991v1		
GCF_011765585.1	PRJNA224116	SAMN14262734		representative genome	1588	1588	Lentilactobacillus hilgardii	strain=LMG 07934		latest	Complete Genome	Major	Full	2020/03/29	ASM1176558v1	Kazan Federal University	GCA_011765585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/765/585/GCF_011765585.1_ASM1176558v1		
GCF_003641185.1	PRJNA224116	SAMN10174879		representative genome	1589	1589	Lactiplantibacillus pentosus	strain=DSM 20314		latest	Complete Genome	Major	Full	2018/10/15	ASM364118v1	Korea University	GCA_003641185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/641/185/GCF_003641185.1_ASM364118v1		assembly from type material
GCF_003269405.1	PRJNA224116	SAMN09373895		representative genome	1590	1590	Lactiplantibacillus plantarum	strain=SK151		latest	Complete Genome	Major	Full	2018/06/28	ASM326940v1	Dankook University	GCA_003269405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/269/405/GCF_003269405.1_ASM326940v1		
GCF_000019245.4	PRJNA224116	SAMN02603933		representative genome	1597	1597	Lacticaseibacillus paracasei	strain=Zhang		latest	Complete Genome	Major	Full	2015/02/05	ASM1924v3	The Key Laboratory of Dairy Biotechnology and Bioengineering, Education Ministry of P. R. China, Department of Food Science and Engineering, Inner Mongolia Agricultural University, China	GCA_000019245.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/245/GCF_000019245.4_ASM1924v3		
GCF_015377805.1	PRJNA224116	SAMN13106284		representative genome	1598	1598	Limosilactobacillus reuteri	strain=TK-F8A		latest	Complete Genome	Major	Full	2020/11/12	ASM1537780v1	Zhejiang Tianke High Technology Development Co.Ltd.	GCA_015377805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/377/805/GCF_015377805.1_ASM1537780v1		
GCF_009676365.1	PRJNA224116	SAMN13258981		representative genome	1599	1599	Latilactobacillus sakei	strain=CBA3614		latest	Complete Genome	Major	Full	2019/11/20	ASM967636v1	World Institute of Kimchi	GCA_009676365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/676/365/GCF_009676365.1_ASM967636v1		
GCF_008831485.1	PRJNA224116	SAMN12784818		representative genome	1600	1600	Lactobacillus acetotolerans	strain=LA749		latest	Complete Genome	Major	Full	2019/10/07	ASM883148v1	Korea University	GCA_008831485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/831/485/GCF_008831485.1_ASM883148v1		
GCF_009933595.1	PRJNA224116	SAMN13634619		representative genome	1605	1605	Ligilactobacillus animalis	strain=P38		latest	Complete Genome	Major	Full	2020/01/27	ASM993359v1	North Carolina State University	GCA_009933595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/933/595/GCF_009933595.1_ASM993359v1		
GCF_009496955.1	PRJNA224116	SAMN12785275		representative genome	1614	1614	Fructilactobacillus fructivorans	strain=LF543		latest	Complete Genome	Major	Full	2019/11/03	ASM949695v1	Korea University	GCA_009496955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/496/955/GCF_009496955.1_ASM949695v1		
GCF_009496975.1	PRJNA224116	SAMN13111568		representative genome	1625	1625	Fructilactobacillus sanfranciscensis	strain=LS451		latest	Complete Genome	Major	Full	2019/11/03	ASM949697v1	Korea University	GCA_009496975.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/496/975/GCF_009496975.1_ASM949697v1		
GCF_014789145.1	PRJNA224116	SAMN16229483		representative genome	1629	1629	Weissella viridescens	strain=NJ100		latest	Complete Genome	Major	Full	2020/09/29	ASM1478914v1	Nanjing Agricultural University	GCA_014789145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/789/145/GCF_014789145.1_ASM1478914v1		
GCF_009362935.1	PRJNA224116	SAMN12784813		representative genome	1633	1633	Lactobacillus vaginalis	strain=LV515		latest	Complete Genome	Major	Full	2019/10/27	ASM936293v1	Korea University	GCA_009362935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/362/935/GCF_009362935.1_ASM936293v1		
GCF_900638015.1	PRJNA224116	SAMEA103980423		representative genome	1641	1641	Listeria grayi	strain=NCTC 10812		latest	Complete Genome	Major	Full	2018/12/20	54984_A01	SC	GCA_900638015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/638/015/GCF_900638015.1_54984_A01		assembly from synonym type material
GCF_900187315.1	PRJNA224116	SAMEA4534872		representative genome	1643	1643	Listeria welshimeri	strain=NCTC11857		latest	Complete Genome	Major	Full	2017/08/15	52087_C01	SC	GCA_900187315.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/187/315/GCF_900187315.1_52087_C01		assembly from type material
GCF_900637845.1	PRJNA224116	SAMEA48399418		representative genome	1648	1648	Erysipelothrix rhusiopathiae	strain=NCTC8163		latest	Complete Genome	Major	Full	2018/12/20	52683_D03	SC	GCA_900637845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/637/845/GCF_900637845.1_52683_D03		assembly from type material
GCF_900637975.1	PRJNA224116	SAMEA101153668		representative genome	1656	1656	Actinomyces viscosus	strain=NCTC10951		latest	Complete Genome	Major	Full	2018/12/20	53550_F01	SC	GCA_900637975.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/637/975/GCF_900637975.1_53550_F01		assembly from type material
GCF_900637225.1	PRJNA224116	SAMEA4364212		representative genome	1659	1659	Actinomyces israelii	strain=NCTC12972		latest	Complete Genome	Major	Full	2018/12/20	50279_H01	SC	GCA_900637225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/637/225/GCF_900637225.1_50279_H01		assembly from type material
GCF_000612055.1	PRJNA224116	SAMN02689492		representative genome	1661	1661	Trueperella pyogenes	strain=TP6375		latest	Complete Genome	Major	Full	2014/04/02	ASM61205v1	Cornell University	GCA_000612055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/612/055/GCF_000612055.1_ASM61205v1		
GCF_003030905.1	PRJNA224116	SAMN08770276		representative genome	1680	1680	Bifidobacterium adolescentis	strain=1-11		latest	Complete Genome	Major	Full	2018/04/03	ASM303090v1	China Agricultural University	GCA_003030905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/030/905/GCF_003030905.1_ASM303090v1		
GCF_000737865.1	PRJNA224116	SAMN02666223		representative genome	1687	1687	Bifidobacterium coryneforme	strain=LMG18911		latest	Complete Genome	Major	Full	2014/08/05	ASM73786v1	University of Parma	GCA_000737865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/737/865/GCF_000737865.1_ASM73786v1		assembly from type material
GCF_002282915.1	PRJNA224116	SAMN07357905		representative genome	1694	1694	Bifidobacterium pseudolongum	strain=UMB-MBP-01		latest	Complete Genome	Major	Full	2017/08/31	ASM228291v1	Institute for Genome Sciences	GCA_002282915.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/282/915/GCF_002282915.1_ASM228291v1		
GCF_902381765.1	PRJNA224116	SAMEA5851036		representative genome	1697	1697	Corynebacterium ammoniagenes		MGYG-HGUT-01533	latest	Complete Genome	Major	Full	2019/08/10	UHGG_MGYG-HGUT-01533	EMG	GCA_902381765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/381/765/GCF_902381765.1_UHGG_MGYG-HGUT-01533		
GCF_003999335.1	PRJNA224116	SAMN08162100		representative genome	1703	1703	Brevibacterium linens	strain=ATCC 19391		latest	Complete Genome	Major	Full	2019/01/08	ASM399933v1	Universite Laval	GCA_003999335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/999/335/GCF_003999335.1_ASM399933v1		
GCF_001941345.1	PRJNA224116	SAMN02996501		representative genome	1705	1705	Corynebacterium stationis	strain=622=DSM 20302		latest	Complete Genome	Major	Full	2017/01/10	ASM194134v1	Bielefeld University	GCA_001941345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/941/345/GCF_001941345.1_ASM194134v1		assembly from type material
GCF_007362135.1	PRJNA224116	SAMN12284813		representative genome	1710	1710	Cellulosimicrobium cellulans	strain=NEB113		latest	Complete Genome	Major	Full	2019/07/24	ASM736213v1	NEB	GCA_007362135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/362/135/GCF_007362135.1_ASM736213v1		
GCF_001457455.1	PRJNA224116	SAMEA2517360		representative genome	1717	1717	Corynebacterium diphtheriae	strain=NCTC11397		latest	Complete Genome	Major	Full	2015/03/22	NCTC11397	SC	GCA_001457455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/457/455/GCF_001457455.1_NCTC11397		assembly from type material
GCF_900478035.1	PRJNA224116	SAMEA4030736		representative genome	1724	1724	Corynebacterium renale	strain=NCTC7448		latest	Complete Genome	Major	Full	2018/06/17	47555_E02	SC	GCA_900478035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/478/035/GCF_900478035.1_47555_E02		assembly from type material
GCF_003641245.1	PRJNA224116	SAMN10065701		representative genome	1725	1725	Corynebacterium xerosis	strain=GS 1		latest	Complete Genome	Major	Full	2018/10/15	ASM364124v1	Gansu Agricultural University	GCA_003641245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/641/245/GCF_003641245.1_ASM364124v1		
GCF_000807675.2	PRJNA224116	SAMN03265381		representative genome	1736	1736	Eubacterium limosum	strain=ATCC 8486		latest	Complete Genome	Major	Full	2017/04/03	ASM80767v2	Korean Advanced Institute of Science and Technology	GCA_000807675.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/807/675/GCF_000807675.2_ASM80767v2		assembly from type material
GCF_900087655.1	PRJNA224116	SAMEA3991644		representative genome	1744	1744	Propionibacterium freudenreichii		PFRJS14	latest	Complete Genome	Major	Full	2017/10/09	PFRJS14	Institute of Biotechnology, Univerity of Helsinki	GCA_900087655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/087/655/GCF_900087655.1_PFRJS14		
GCF_001975205.1	PRJNA224116	SAMN04230715		representative genome	1748	1748	Acidipropionibacterium acidipropionici	strain=WSH1105		latest	Complete Genome	Major	Full	2017/01/30	ASM197520v1	Propionibacterium acidipropionici	GCA_001975205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/975/205/GCF_001975205.1_ASM197520v1		
GCF_005890135.1	PRJNA224116	SAMN11653934		representative genome	1749	1749	Acidipropionibacterium jensenii	strain=FAM 19038		latest	Complete Genome	Major	Full	2019/05/30	ASM589013v1	Agroscope	GCA_005890135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/890/135/GCF_005890135.1_ASM589013v1		
GCF_900637725.1	PRJNA224116	SAMEA4475699		representative genome	1750	1750	Pseudopropionibacterium propionicum	strain=NCTC12967		latest	Complete Genome	Major	Full	2018/12/20	52551_C01	SC	GCA_900637725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/637/725/GCF_900637725.1_52551_C01		assembly from type material
GCF_001307545.1	PRJNA224116	SAMN03464915		representative genome	1766	1766	Mycolicibacterium fortuitum	strain=CT6		latest	Complete Genome	Major	Full	2015/10/07	ASM130754v1	California Institute of Technology	GCA_001307545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/307/545/GCF_001307545.1_ASM130754v1		
GCF_003253775.1	PRJNA224116	SAMN09104579		representative genome	1769	1769	Mycobacterium leprae	strain=MRHRU-235-G		latest	Complete Genome	Major	Full	2018/06/18	ASM325377v1	National JALMA Institute for Leprosy and Other Mycobacterial Diseases	GCA_003253775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/253/775/GCF_003253775.1_ASM325377v1		
GCF_001457595.1	PRJNA224116	SAMEA2517361		representative genome	1772	1772	Mycolicibacterium smegmatis	strain=NCTC8159		latest	Complete Genome	Major	Full	2015/03/22	NCTC8159	SC	GCA_001457595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/457/595/GCF_001457595.1_NCTC8159		assembly from type material
GCF_010727945.1	PRJNA224116	SAMD00153177		representative genome	1775	1775	Mycobacterium cookii	strain=JCM 12404		latest	Complete Genome	Major	Full	2020/02/06	ASM1072794v1	Department of Infection Metagenomics, Osaka University	GCA_010727945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/727/945/GCF_010727945.1_ASM1072794v1		assembly from type material
GCF_010727605.1	PRJNA224116	SAMD00153175		representative genome	1784	1784	Mycobacterium simiae	strain=JCM 12377		latest	Complete Genome	Major	Full	2020/02/06	ASM1072760v1	Department of Infection Metagenomics, Osaka University	GCA_010727605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/727/605/GCF_010727605.1_ASM1072760v1		assembly from type material
GCF_900187145.1	PRJNA224116	SAMEA4434518		representative genome	1788	1788	Mycolicibacter terrae	strain=NCTC10856		latest	Complete Genome	Major	Full	2017/08/15	50818_H01	SC	GCA_900187145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/187/145/GCF_900187145.1_50818_H01		
GCF_900637195.1	PRJNA224116	SAMEA4364210		representative genome	1791	1791	Mycolicibacterium aurum	strain=NCTC10437		latest	Complete Genome	Major	Full	2018/12/20	50279_F01	SC	GCA_900637195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/637/195/GCF_900637195.1_50279_F01		assembly from type material
GCF_900637205.1	PRJNA224116	SAMEA4364211		representative genome	1792	1792	Mycolicibacterium chitae	strain=NCTC10485		latest	Complete Genome	Major	Full	2018/12/20	50279_G01	SC	GCA_900637205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/637/205/GCF_900637205.1_50279_G01		assembly from type material
GCF_010726955.1	PRJNA224116	SAMD00153171		representative genome	1793	1793	Mycolicibacterium fallax	strain=JCM 6405		latest	Complete Genome	Major	Full	2020/02/06	ASM1072695v1	Department of Infection Metagenomics, Osaka University	GCA_010726955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/726/955/GCF_010726955.1_ASM1072695v1		assembly from type material
GCF_010728925.1	PRJNA224116	SAMD00153182		representative genome	1794	1794	Mycolicibacterium gadium	strain=JCM 12688		latest	Complete Genome	Major	Full	2020/02/06	ASM1072892v1	Department of Infection Metagenomics, Osaka University	GCA_010728925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/728/925/GCF_010728925.1_ASM1072892v1		assembly from type material
GCF_900187065.1	PRJNA224116	SAMEA4412656		representative genome	1797	1797	Mycolicibacterium thermoresistibile	strain=NCTC10409		latest	Complete Genome	Major	Full	2017/08/15	50465_H02	SC	GCA_900187065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/187/065/GCF_900187065.1_50465_H02		assembly from type material
GCF_010726245.1	PRJNA224116	SAMD00153166		representative genome	1799	1799	Mycolicibacterium aichiense	strain=JCM 6376		latest	Complete Genome	Major	Full	2020/02/06	ASM1072624v1	Department of Infection Metagenomics, Osaka University	GCA_010726245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/726/245/GCF_010726245.1_ASM1072624v1		assembly from type material
GCF_007362295.1	PRJNA224116	SAMN12284987		representative genome	1823	1823	Nocardia otitidiscaviarum	strain=NEB252		latest	Complete Genome	Major	Full	2019/07/24	ASM736229v1	NEB	GCA_007362295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/362/295/GCF_007362295.1_ASM736229v1		
GCF_900637185.1	PRJNA224116	SAMEA44528668		representative genome	1824	1824	Nocardia asteroides	strain=NCTC11293		latest	Complete Genome	Major	Full	2018/12/20	49867_H01	SC	GCA_900637185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/637/185/GCF_900637185.1_49867_H01		assembly from type material
GCF_900187265.1	PRJNA224116	SAMEA4535765		representative genome	1829	1829	Rhodococcus rhodochrous	strain=NCTC10210		latest	Complete Genome	Major	Full	2017/08/15	52295_G01	SC	GCA_900187265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/187/265/GCF_900187265.1_52295_G01		assembly from type material
GCF_003086595.1	PRJNA224116	SAMN08944468		representative genome	1830	1830	Rhodococcus ruber	strain=SD3		latest	Complete Genome	Major	Full	2018/05/03	ASM308659v1	Jiangxi Normal University	GCA_003086595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/086/595/GCF_003086595.1_ASM308659v1		
GCF_900187045.1	PRJNA224116	SAMEA4475696		representative genome	1863	1863	Dermatophilus congolensis	strain=NCTC13039		latest	Complete Genome	Major	Full	2017/08/15	51485_B01	SC	GCA_900187045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/187/045/GCF_900187045.1_51485_B01		assembly from type material
GCF_000359525.1	PRJNA224116	SAMN02603310		representative genome	1886	1886	Streptomyces albidoflavus	strain=J1074		latest	Complete Genome	Major	Full	2013/04/09	ASM35952v1	HIPS/LNU	GCA_000359525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/359/525/GCF_000359525.1_ASM35952v1		
GCF_015767775.1	PRJNA224116	SAMN16862539		representative genome	1901	1901	Streptomyces clavuligerus	strain=F1D7		latest	Complete Genome	Major	Full	2020/12/06	ASM1576777v1	Shandong First Medical University	GCA_015767775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/767/775/GCF_015767775.1_ASM1576777v1		
GCF_003344445.1	PRJNA224116	SAMN05466746		representative genome	1915	1915	Streptomyces lincolnensis	strain=LC-G		latest	Complete Genome	Major	Full	2018/07/27	ASM334444v1	Shanghai Jiao Tong University	GCA_003344445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/344/445/GCF_003344445.1_ASM334444v1		
GCF_008704655.1	PRJNA224116	SAMN07709107		representative genome	1927	1927	Streptomyces rimosus	strain=ATCC 10970		latest	Complete Genome	Major	Full	2019/09/26	ASM870465v1	KAIST	GCA_008704655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/704/655/GCF_008704655.1_ASM870465v1		assembly from type material
GCF_002082175.1	PRJNA224116	SAMN06323808		representative genome	1935	1935	Streptomyces violaceoruber	strain=S21		latest	Complete Genome	Major	Full	2017/04/10	ASM208217v1	Shandong Academy of Medical Sciences	GCA_002082175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/082/175/GCF_002082175.1_ASM208217v1		
